NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_57	ENSG00000005108	3669	0.7757375240325928	0.6496883	Yes	
row_58	ENSG00000011465	3732	0.7666140198707581	0.6534983	Yes	
row_59	ENSG00000169429	3745	0.7645060420036316	0.65952325	Yes	
row_60	ENSG00000186407	3850	0.7510865330696106	0.66132426	Yes	
row_61	ENSG00000185499	3973	0.7345882058143616	0.66217977	Yes	
row_62	ENSG00000114251	4213	0.7007635235786438	0.6575197	Yes	
row_63	ENSG00000221869	4292	0.6912071704864502	0.65996796	Yes	
row_64	ENSG00000142192	4485	0.6648970246315002	0.6570992	Yes	
row_65	ENSG00000122862	4567	0.6515861749649048	0.6590735	Yes	
row_66	ENSG00000205542	4719	0.6338537335395813	0.6577693	Yes	
row_67	ENSG00000041982	4722	0.6331849098205566	0.6631139	Yes	
row_68	ENSG00000110723	4963	0.6047807931900024	0.65758544	Yes	
row_69	ENSG00000122786	4967	0.6043387055397034	0.6626378	Yes	
row_70	ENSG00000113578	4977	0.6028804779052734	0.6674097	Yes	
row_71	ENSG00000143127	5507	0.5428072214126587	0.64844245	No	
row_72	ENSG00000101974	5649	0.5266239047050476	0.6466647	No	
row_73	ENSG00000173706	5661	0.5253844261169434	0.65068215	No	
row_74	ENSG00000139372	5708	0.519858717918396	0.6530891	No	
row_75	ENSG00000108691	5833	0.5045515894889832	0.65188116	No	
row_76	ENSG00000153827	6545	0.4242895245552063	0.62376857	No	
row_77	ENSG00000119946	6731	0.401463121175766	0.6189516	No	
row_78	ENSG00000100612	6974	0.3776204288005829	0.61138433	No	
row_79	ENSG00000149591	7306	0.3437914550304413	0.599552	No	
row_80	ENSG00000136153	7348	0.3401668071746826	0.6006402	No	
row_81	ENSG00000069869	7822	0.2934934198856354	0.58203435	No	
row_82	ENSG00000122641	8008	0.27382856607437134	0.57612205	No	
row_83	ENSG00000170525	8042	0.270611435174942	0.5769706	No	
row_84	ENSG00000183668	8933	0.18680323660373688	0.5388256	No	
row_85	ENSG00000136144	10309	0.06249179691076279	0.47795328	No	
row_86	ENSG00000213694	11329	-0.029435761272907257	0.43269652	No	
row_87	ENSG00000226887	11539	-0.04846206679940224	0.42377833	No	
row_88	ENSG00000188352	11604	-0.05413522198796272	0.4213846	No	
row_89	ENSG00000136147	12074	-0.0971662700176239	0.40127257	No	
row_90	ENSG00000155111	12105	-0.09986783564090729	0.4007898	No	
row_91	ENSG00000196167	12933	-0.17341622710227966	0.36534354	No	
row_92	ENSG00000038427	16035	-0.46789735555648804	0.23086582	No	
row_93	ENSG00000112096	16501	-0.5188658833503723	0.21455137	No	
row_94	ENSG00000035928	16502	-0.5190815329551697	0.21900606	No	
row_95	ENSG00000152952	19717	-0.963919997215271	0.08373846	No	
row_96	ENSG00000118402	20202	-1.0573594570159912	0.07119674	No	
row_97	ENSG00000109189	20404	-1.1019043922424316	0.07167631	No	
row_98	ENSG00000154734	20709	-1.174001693725586	0.06817453	No	
row_99	ENSG00000116678	21211	-1.3192540407180786	0.05712112	No	
